"id","sentiment"
"0_10",0.791257
"0_2",0.379716
"10000_4",0.0384896
"10000_7",0.999416
"10001_1",0.000480848
"10001_9",0.952774
"10002_3",0.149506
"10002_8",0.854972
"10003_3",0.840406
"10003_8",0.998283
"10004_2",0.0145254
"10004_9",0.991882
"10005_2",0.108255
"10005_8",0.977849
"10006_2",0.00235698
"10006_7",0.553642
"10007_10",0.93352
"10007_4",0.0207185
"10008_4",0.452418
"10008_8",0.995123
"10009_10",0.985851
"10009_3",0.173494
"1000_3",0.659771
"1000_9",0.974717
"10010_2",0.427625
"10010_9",0.961225
"10011_1",0.0298773
"10011_9",0.980991
"10012_1",7.71814e-05
"10012_9",0.354866
"10013_4",0.212363
"10013_9",0.901198
"10014_2",0.782486
"10014_7",0.956391
"10015_4",0.599809
"10015_8",0.815341
"10016_3",0.524084
"10016_8",0.916122
"10017_1",0.424153
"10017_8",0.954945
"10018_1",0.0680023
"10018_8",0.5367
"10019_1",0.00188458
"10019_8",0.994906
"1001_10",0.995414
"1001_4",0.604813
"10020_1",0.0149066
"10020_8",0.840011
"10021_3",0.216615
"10021_9",0.954779
"10022_10",0.941911
"10022_4",0.0089907
"10023_4",0.454453
"10023_8",0.885418
"10024_3",9.282e-05
"10024_9",0.558384
"10025_2",0.000656422
"10025_8",0.957377
"10026_10",0.998612
"10026_3",0.149992
"10027_1",0.0979642
"10027_8",0.836572
"10028_10",0.994406
"10028_3",0.0682603
"10029_1",0.00115124
"10029_10",0.99796
"1002_3",0.225777
"1002_9",0.974717
"10030_3",0.137347
"10030_7",0.936236
"10031_2",0.0237598
"10031_8",0.99966
"10032_1",0.0220478
"10032_8",0.99848
"10033_1",0.0188231
"10033_8",0.89735
"10034_1",0.00268418
"10034_9",0.881556
"10035_1",0.0346538
"10035_10",0.949026
"10036_1",0.00286439
"10036_10",0.945922
"10037_1",0.0797639
"10037_7",0.997415
"10038_4",0.00178408
"10038_7",0.130931
"10039_1",0.00692536
"10039_8",0.606119
"1003_4",0.620233
"1003_8",0.919268
"10040_10",0.98184
"10040_2",0.277032
"10041_1",1.21199e-07
"10041_8",0.5839
"10042_1",0.106604
"10042_8",0.926735
"10043_1",0.699133
"10043_10",0.996398
"10044_2",0.00891251
"10044_8",0.996863
"10045_1",0.00585543
"10045_7",0.999337
"10046_10",0.531352
"10046_4",0.337664
"10047_1",0.0137526
"10047_10",0.996078
"10048_1",0.532465
"10048_8",0.940982
"10049_1",0.00588455
"10049_8",0.989316
"1004_10",0.999974
"1004_4",0.787918
"10050_4",0.758863
"10050_8",0.947257
"10051_2",0.161134
"10051_8",0.998713
"10052_4",0.000257402
"10052_7",0.94529
"10053_10",0.961668
"10053_4",0.829477
"10054_3",0.136794
"10054_7",0.91818
"10055_1",0.101213
"10055_10",0.93791
"10056_1",0.338065
"10056_8",0.992513
"10057_1",0.0441654
"10057_8",0.471921
"10058_2",0.844718
"10058_8",0.696414
"10059_1",0.0979931
"10059_10",0.941056
"1005_2",0.0314707
"1005_7",0.745085
"10060_10",0.918828
"10060_3",0.0748087
"10061_10",0.944627
"10061_4",0.079357
"10062_4",0.028274
"10062_9",0.276777
"10063_1",0.0501922
"10063_10",0.919365
"10064_10",0.981257
"10064_2",0.468652
"10065_1",0.334173
"10065_8",0.998643
"10066_1",0.784751
"10066_7",0.15398
"10067_4",0.068901
"10067_7",0.906391
"10068_3",0.0413176
"10068_8",0.992186
"10069_10",0.953157
"10069_3",0.0285978
"1006_3",0.0635338
"1006_8",0.949861
"10070_10",0.877941
"10070_3",0.291303
"10071_2",0.284221
"10071_8",0.998425
"10072_1",0.0158018
"10072_10",0.994412
"10073_3",0.164904
"10073_7",0.19496
"10074_3",0.779778
"10074_7",0.883361
"10075_10",0.972327
"10075_3",0.00102817
"10076_10",0.984483
"10076_3",0.00680712
"10077_3",0.00739499
"10077_7",0.855656
"10078_10",0.941095
"10078_3",0.210875
"10079_1",0.00272728
"10079_10",0.925665
"1007_4",0.0797141
"1007_9",0.854743
"10080_1",0.0764043
"10080_10",0.995108
"10081_1",0.157788
"10081_10",0.629612
"10082_1",0.00568326
"10082_8",0.827547
"10083_10",0.966963
"10083_2",0.68346
"10084_10",0.997453
"10084_3",0.460753
"10085_10",0.887689
"10085_2",0.0968445
"10086_1",0.266104
"10086_10",0.634622
"10087_1",0.0891097
