"id","sentiment"
"0_10",0.504116
"0_2",0.481591
"10000_4",0.45152
"10000_7",0.609472
"10001_1",0.421496
"10001_9",0.5741
"10002_3",0.501582
"10002_8",0.432903
"10003_3",0.615533
"10003_8",0.560028
"10004_2",0.448672
"10004_9",0.606998
"10005_2",0.51762
"10005_8",0.57936
"10006_2",0.415092
"10006_7",0.494179
"10007_10",0.494959
"10007_4",0.48914
"10008_4",0.559322
"10008_8",0.881722
"10009_10",0.473865
"10009_3",0.472852
"1000_3",0.479468
"1000_9",0.501958
"10010_2",0.588963
"10010_9",0.474431
"10011_1",0.444971
"10011_9",0.465515
"10012_1",0.424024
"10012_9",0.460614
"10013_4",0.564644
"10013_9",0.522131
"10014_2",0.470229
"10014_7",0.566057
"10015_4",0.537329
"10015_8",0.840943
"10016_3",0.515234
"10016_8",0.515888
"10017_1",0.510645
"10017_8",0.471774
"10018_1",0.430586
"10018_8",0.422207
"10019_1",0.403776
"10019_8",0.504752
"1001_10",0.55888
"1001_4",0.577496
"10020_1",0.653329
"10020_8",0.507302
"10021_3",0.472659
"10021_9",0.566699
"10022_10",0.527115
"10022_4",0.39643
"10023_4",0.44737
"10023_8",0.510876
"10024_3",0.632158
"10024_9",0.456993
"10025_2",0.569708
"10025_8",0.586609
"10026_10",0.905081
"10026_3",0.551315
"10027_1",0.503695
"10027_8",0.623013
"10028_10",0.554994
"10028_3",0.471455
"10029_1",0.382858
"10029_10",0.809942
"1002_3",0.474554
"1002_9",0.501958
"10030_3",0.477473
"10030_7",0.620439
"10031_2",0.55983
"10031_8",0.849183
"10032_1",0.404809
"10032_8",0.66084
"10033_1",0.392064
"10033_8",0.541731
"10034_1",0.452366
"10034_9",0.72772
"10035_1",0.462671
"10035_10",0.48024
"10036_1",0.448193
"10036_10",0.512749
"10037_1",0.459579
"10037_7",0.518299
"10038_4",0.43397
"10038_7",0.618194
"10039_1",0.411913
"10039_8",0.506329
"1003_4",0.543948
"1003_8",0.47118
"10040_10",0.499325
"10040_2",0.474636
"10041_1",0.578663
"10041_8",0.526266
"10042_1",0.437798
"10042_8",0.634708
