"id","sentiment"
"0_10",0.653819
"0_2",0.476516
"10000_4",0.33291
"10000_7",0.741197
"10001_1",0.151892
"10001_9",0.678448
"10002_3",0.410219
"10002_8",0.477396
"10003_3",0.730823
"10003_8",0.809224
"10004_2",0.29991
"10004_9",0.795525
"10005_2",0.504532
"10005_8",0.730737
"10006_2",0.238564
"10006_7",0.564365
"10007_10",0.653807
"10007_4",0.489928
"10008_4",0.54288
"10008_8",0.893263
"10009_10",0.535655
"10009_3",0.415114
"1000_3",0.513974
"1000_9",0.607206
"10010_2",0.511105
"10010_9",0.724209
"10011_1",0.33191
"10011_9",0.670292
"10012_1",0.202499
"10012_9",0.457393
"10013_4",0.592797
"10013_9",0.677361
"10014_2",0.546047
"10014_7",0.581438
"10015_4",0.574172
"10015_8",0.824493
"10016_3",0.378683
"10016_8",0.644513
"10017_1",0.524939
"10017_8",0.4424
"10018_1",0.437241
"10018_8",0.235539
"10019_1",0.145128
"10019_8",0.624005
"1001_10",0.749822
"1001_4",0.325655
"10020_1",0.550692
"10020_8",0.649947
"10021_3",0.459901
"10021_9",0.672089
"10022_10",0.714422
"10022_4",0.240232
"10023_4",0.39637
"10023_8",0.446043
"10024_3",0.40395
"10024_9",0.475073
"10025_2",0.248189
"10025_8",0.74973
"10026_10",0.933559
"10026_3",0.538199
"10027_1",0.454318
"10027_8",0.675784
"10028_10",0.749582
"10028_3",0.379803
"10029_1",0.102878
"10029_10",0.896025
"1002_3",0.489552
"1002_9",0.607206
"10030_3",0.44854
"10030_7",0.734763
"10031_2",0.359825
"10031_8",0.891807
"10032_1",0.278793
"10032_8",0.734105
"10033_1",0.210313
"10033_8",0.68337
"10034_1",0.236508
"10034_9",0.719772
"10035_1",0.315245
"10035_10",0.57964
"10036_1",0.28723
"10036_10",0.608484
"10037_1",0.361852
"10037_7",0.757997
"10038_4",0.262494
"10038_7",0.529497
"10039_1",0.143945
"10039_8",0.513088
"1003_4",0.55795
"1003_8",0.546238
"10040_10",0.675295
"10040_2",0.364169
"10041_1",0.143253
"10041_8",0.669882
"10042_1",0.42755
"10042_8",0.722233
"10043_1",0.409183
"10043_10",0.680719
"10044_2",0.378799
"10044_8",0.787403
"10045_1",0.381775
"10045_7",0.794132
"10046_10",0.55625
"10046_4",0.691679
"10047_1",0.299965
"10047_10",0.727269
"10048_1",0.507062
"10048_8",0.553832
"10049_1",0.213367
"10049_8",0.818466
"1004_10",0.91528
"1004_4",0.514352
"10050_4",0.608566
"10050_8",0.680216
"10051_2",0.349099
"10051_8",0.714547
"10052_4",0.164241
"10052_7",0.84303
"10053_10",0.659221
"10053_4",0.490681
"10054_3",0.532682
"10054_7",0.661822
"10055_1",0.578241
"10055_10",0.536535
"10056_1",0.486842
"10056_8",0.582734
"10057_1",0.462575
"10057_8",0.44002
"10058_2",0.568199
"10058_8",0.558167
"10059_1",0.306046
"10059_10",0.529748
"1005_2",0.323112
"1005_7",0.644751
"10060_10",0.543361
"10060_3",0.319941
"10061_10",0.554468
"10061_4",0.466351
"10062_4",0.527245
"10062_9",0.330625
"10063_1",0.366145
"10063_10",0.561022
"10064_10",0.570107
"10064_2",0.454795
"10065_1",0.292375
"10065_8",0.581041
"10066_1",0.539929
"10066_7",0.378405
"10067_4",0.479598
"10067_7",0.593717
"10068_3",0.38013
"10068_8",0.716306
"10069_10",0.47378
"10069_3",0.378261
"1006_3",0.322814
"1006_8",0.629598
"10070_10",0.605816
"10070_3",0.529823
"10071_2",0.391472
"10071_8",0.809308
"10072_1",0.358888
"10072_10",0.548974
"10073_3",0.54975
"10073_7",0.489275
"10074_3",0.54748
"10074_7",0.631086
"10075_10",0.607992
"10075_3",0.277642
"10076_10",0.53776
"10076_3",0.299272
"10077_3",0.358396
"10077_7",0.548405
"10078_10",0.57463
"10078_3",0.466803
"10079_1",0.277883
"10079_10",0.611861
"1007_4",0.254941
"1007_9",0.508033
"10080_1",0.344935
"10080_10",0.777703
"10081_1",0.388117
"10081_10",0.383329
"10082_1",0.244189
"10082_8",0.651451
"10083_10",0.525653
"10083_2",0.470811
"10084_10",0.675135
"10084_3",0.453304
"10085_10",0.564244
"10085_2",0.302674
"10086_1",0.413532
"10086_10",0.5672
"10087_1",0.429443
"10087_7",0.506356
"10088_1",0.285526
"10088_8",0.415644
"10089_1",0.375748
"10089_9",0.668263
"1008_10",0.448369
"1008_2",0.438837
"10090_10",0.649173
"10090_3",0.466627
"10091_1",0.351868
"10091_10",0.423977
"10092_4",0.388198
"10092_8",0.44236
"10093_1",0.409095
"10093_10",0.543293
"10094_4",0.3532
"10094_9",0.774871
"10095_3",0.569686
"10095_9",0.510042
"10096_1",0.271614
"10096_9",0.608039
"10097_10",0.402459
"10097_2",0.30441
"10098_1",0.373399
"10098_9",0.495551
"10099_4",0.592892
"10099_9",0.460259
"1009_3",0.577839
"1009_8",0.673731
"100_10",0.534501
"100_4",0.403136
"10100_10",0.745357
"10100_3",0.60234
"10101_4",0.391063
"10101_9",0.763541
"10102_2",0.186805
"10102_8",0.645526
"10103_1",0.161878
"10103_9",0.478314
"10104_1",0.249789
"10104_10",0.624609
"10105_3",0.14594
"10105_8",0.607373
"10106_1",0.249427
"10106_10",0.540528
"10107_2",0.32166
"10107_9",0.538091
"10108_1",0.245356
"10108_8",0.63843
"10109_1",0.321249
"10109_10",0.626082
"1010_1",0.484187
"1010_9",0.676592
"10110_1",0.283154
"10110_10",0.560897
"10111_1",0.244632
"10111_10",0.710917
"10112_1",0.167005
"10112_10",0.830643
"10113_1",0.246569
"10113_9",0.666488
"10114_2",0.182681
"10114_8",0.540378
"10115_1",0.261014
"10115_8",0.603833
"10116_1",0.160514
"10116_10",0.540687
"10117_1",0.287492
"10117_9",0.457359
"10118_1",0.111194
"10118_8",0.851064
"10119_1",0.320672
"10119_10",0.674449
"1011_4",0.397383
"1011_8",0.655684
"10120_1",0.230623
"10120_10",0.566035
"10121_1",0.409561
"10121_10",0.60875
"10122_10",0.606176
"10122_2",0.474422
"10123_10",0.620158
"10123_4",0.44663
"10124_3",0.718676
"10124_8",0.846438
"10125_4",0.568645
"10125_8",0.561816
"10126_4",0.509637
"10126_9",0.663767
"10127_10",0.50288
"10127_2",0.302353
"10128_1",0.446204
"10128_10",0.698261
"10129_10",0.510751
"10129_2",0.265713
"1012_1",0.404777
"1012_8",0.319888
"10130_2",0.437887
"10130_8",0.714419
"10131_3",0.386075
"10131_7",0.79613
"10132_10",0.692459
"10132_3",0.476998
"10133_4",0.552221
"10133_8",0.669337
"10134_4",0.618916
"10134_7",0.630542
"10135_3",0.336829
"10135_8",0.778843
"10136_1",0.215759
"10136_10",0.484955
"10137_10",0.657936
"10137_2",0.411156
"10138_10",0.596223
"10138_2",0.251366
"10139_1",0.28149
"10139_10",0.542475
"1013_1",0.540815
"1013_7",0.581811
"10140_1",0.287376
"10140_10",0.634139
"10141_1",0.409318
"10141_8",0.661306
"10142_10",0.701536
"10142_3",0.454118
"10143_3",0.160389
"10143_9",0.593228
"10144_1",0.403001
"10144_8",0.661226
"10145_1",0.338867
"10145_8",0.507071
"10146_1",0.57556
"10146_10",0.652508
"10147_1",0.0784316
"10147_7",0.616859
"10148_1",0.299465
"10148_10",0.724779
"10149_1",0.212853
"10149_9",0.755467
"1014_4",0.212299
"1014_8",0.440532
"10150_2",0.348674
"10150_8",0.744841
"10151_1",0.410834
"10151_8",0.458329
"10152_1",0.214496
"10152_9",0.597042
"10153_1",0.380108
"10153_10",0.473941
"10154_10",0.594317
"10154_2",0.57027
"10155_1",0.280835
"10155_7",0.486563
"10156_3",0.340262
"10156_8",0.5369
"10157_1",0.144236
"10157_8",0.651853
"10158_2",0.38549
"10158_9",0.690463
"10159_4",0.498655
"10159_7",0.72892
"1015_4",0.585397
"1015_8",0.655684
"10160_3",0.290261
"10160_7",0.793234
"10161_1",0.439695
"10161_7",0.485047
"10162_10",0.616699
"10162_4",0.412446
"10163_4",0.525026
"10163_7",0.817106
"10164_4",0.625774
"10164_9",0.50406
"10165_2",0.354873
"10165_9",0.597465
"10166_4",0.652188
"10166_8",0.65397
"10167_4",0.361825
"10167_9",0.834107
"10168_4",0.402465
"10168_9",0.616283
"10169_3",0.446525
"10169_8",0.859855
"1016_3",0.425212
"1016_7",0.393092
"10170_1",0.127714
"10170_8",0.767112
"10171_1",0.253374
"10171_8",0.746048
"10172_1",0.512478
"10172_9",0.69381
"10173_1",0.321301
"10173_8",0.630183
"10174_1",0.203849
"10174_9",0.474819
"10175_2",0.417218
"10175_7",0.525039
"10176_1",0.425326
"10176_9",0.585424
"10177_10",0.602094
"10177_3",0.258589
"10178_1",0.239648
"10178_10",0.631879
"10179_1",0.484519
"10179_10",0.593096
"1017_1",0.32782
"1017_7",0.37179
"10180_1",0.27447
"10180_8",0.46048
"10181_10",0.510153
"10181_2",0.28849
"10182_10",0.643445
"10182_3",0.163952
"10183_1",0.117127
"10183_9",0.794839
"10184_1",0.212079
"10184_9",0.700659
"10185_1",0.464042
"10185_10",0.700102
"10186_1",0.39934
"10186_10",0.553718
"10187_1",0.229483
"10187_10",0.599251
"10188_1",0.518688
"10188_10",0.37106
"10189_1",0.228405
"10189_10",0.64724
"1018_4",0.537383
"1018_7",0.618193
"10190_1",0.301599
"10190_10",0.418071
"10191_1",0.268815
"10191_10",0.588911
"10192_1",0.305334
"10192_10",0.476792
"10193_1",0.288093
"10193_7",0.934026
"10194_1",0.433774
"10194_7",0.533531
"10195_1",0.132152
"10195_10",0.637013
"10196_1",0.184404
"10196_8",0.610878
"10197_2",0.133807
"10197_8",0.542069
"10198_2",0.491608
"10198_8",0.680878
"10199_1",0.131854
"10199_10",0.852565
"1019_10",0.683396
"1019_3",0.325204
"101_3",0.423361
"101_9",0.509419
"10200_1",0.454158
"10200_7",0.453508
"10201_1",0.510267
"10201_7",0.526767
"10202_4",0.412677
"10202_9",0.820654
"10203_10",0.631793
"10203_2",0.306213
"10204_10",0.777146
"10204_2",0.482059
"10205_1",0.469567
"10205_10",0.594614
"10206_4",0.473863
"10206_8",0.781267
"10207_10",0.479773
"10207_3",0.416856
"10208_1",0.341969
"10208_10",0.78872
"10209_1",0.277659
"10209_7",0.527517
"1020_2",0.450788
"1020_7",0.870219
"10210_3",0.510658
"10210_7",0.815438
"10211_4",0.466299
"10211_8",0.742213
"10212_4",0.324451
"10212_7",0.696392
"10213_4",0.411678
"10213_7",0.438992
"10214_10",0.692233
"10214_2",0.358291
"10215_10",0.56351
"10215_4",0.417728
"10216_1",0.37616
"10216_10",0.556827
"10217_4",0.247393
"10217_7",0.525725
"10218_4",0.494924
"10218_7",0.495169
"10219_4",0.524366
"10219_9",0.493408
"1021_2",0.341701
"1021_7",0.389407
"10220_10",0.736177
"10220_3",0.330428
"10221_2",0.386837
"10221_8",0.646021
"10222_1",0.556623
"10222_8",0.610032
"10223_10",0.646512
"10223_2",0.368199
"10224_2",0.250568
"10224_9",0.342961
"10225_1",0.381324
"10225_10",0.666892
"10226_10",0.521846
"10226_3",0.434778
"10227_3",0.354163
"10227_7",0.420932
"10228_1",0.324139
"10228_10",0.526332
"10229_10",0.826685
"10229_2",0.39238
"1022_10",0.560907
"1022_3",0.511571
"10230_2",0.405195
"10230_7",0.657098
"10231_4",0.418738
"10231_9",0.599792
"10232_1",0.33524
"10232_10",0.819338
"10233_3",0.488503
"10233_7",0.319385
"10234_3",0.375185
"10234_9",0.830226
"10235_10",0.503773
"10235_3",0.603946
"10236_10",0.514958
"10236_4",0.453514
"10237_10",0.727468
"10237_3",0.340786
"10238_2",0.838131
"10238_7",0.703249
"10239_1",0.366784
"10239_9",0.535836
"1023_10",0.616374
"1023_3",0.596349
"10240_1",0.1676
"10240_10",0.478124
"10241_1",0.244274
"10241_10",0.602131
"10242_2",0.258655
"10242_8",0.624849
"10243_2",0.147013
"10243_9",0.807794
"10244_2",0.537366
"10244_7",0.859131
"10245_4",0.434446
"10245_9",0.759787
"10246_2",0.555944
"10246_9",0.786359
"10247_1",0.368384
"10247_10",0.565047
"10248_1",0.364484
"10248_9",0.640016
"10249_1",0.15709
"10249_8",0.633056
"1024_4",0.519757
"1024_9",0.70005
"10250_10",0.571327
"10250_4",0.48778
"10251_10",0.683583
"10251_3",0.342121
"10252_1",0.256222
"10252_10",0.402996
"10253_3",0.228804
"10253_7",0.683155
"10254_1",0.337258
"10254_8",0.781939
"10255_1",0.667674
"10255_10",0.679633
"10256_10",0.622223
"10256_4",0.383423
"10257_10",0.756435
"10257_3",0.390721
"10258_1",0.322999
"10258_8",0.629226
"10259_10",0.439661
"10259_3",0.295867
"1025_10",0.766008
"1025_3",0.367204
"10260_1",0.515616
"10260_10",0.59525
"10261_1",0.334584
"10261_8",0.486828
"10262_4",0.26979
"10262_7",0.659557
"10263_3",0.475104
"10263_7",0.905163
"10264_2",0.317363
"10264_8",0.600607
"10265_3",0.270301
"10265_9",0.556159
"10266_1",0.285563
"10266_7",0.721266
"10267_4",0.438877
"10267_7",0.747026
"10268_3",0.243395
"10268_7",0.566735
"10269_4",0.489522
"10269_8",0.71479
"1026_10",0.625999
"1026_2",0.389981
"10270_1",0.462717
"10270_10",0.500121
"10271_1",0.526144
"10271_8",0.749137
"10272_1",0.370368
"10272_7",0.793161
"10273_1",0.476972
"10273_10",0.631972
"10274_2",0.316011
"10274_8",0.429404
"10275_3",0.459458
"10275_9",0.646685
"10276_1",0.209191
"10276_8",0.502304
"10277_10",0.629953
"10277_2",0.377773
"10278_4",0.246465
"10278_7",0.483656
"10279_4",0.611923
"10279_9",0.585489
"1027_4",0.579213
"1027_9",0.532612
"10280_4",0.390316
"10280_8",0.507769
"10281_4",0.311681
"10281_9",0.703749
"10282_10",0.642587
"10282_2",0.420062
"10283_1",0.475654
"10283_10",0.533396
"10284_1",0.386007
"10284_9",0.561763
"10285_1",0.549477
"10285_9",0.778454
"10286_10",0.510682
"10286_3",0.448653
"10287_1",0.470661
"10287_10",0.454208
"10288_1",0.552116
"10288_8",0.67462
"10289_1",0.322346
"10289_9",0.630482
"1028_10",0.611968
"1028_4",0.453081
"10290_1",0.229864
"10290_10",0.637427
"10291_3",0.193604
"10291_9",0.691417
"10292_10",0.728136
"10292_2",0.404188
"10293_1",0.326721
"10293_9",0.77256
